lr-AdamW,created_at,train/loss_simple_step,train/loss_vlb_step,train/loss_step,global_step,epoch,val/loss_simple,val/loss_vlb,val/loss,val/loss_simple_ema,val/loss_vlb_ema,val/loss_ema,train/loss_simple_epoch,train/loss_vlb_epoch,train/loss_epoch
,2022-09-26 13:56:55.791095,0.007699901703745127,4.1076527850236744e-05,0.007699901703745127,5599.0,0.0,,,,,,,,,
0.0005,2022-09-26 13:57:21.739215,,,,,,,,,,,,,,
,2022-09-26 13:57:22.263000,0.18266765773296356,0.0006485771154984832,0.18266765773296356,5649.0,0.0,,,,,,,,,
0.0005,2022-09-26 13:57:48.168059,,,,,,,,,,,,,,
,2022-09-26 13:57:48.688666,0.39682263135910034,0.004066832829266787,0.39682263135910034,5699.0,0.0,,,,,,,,,
0.0005,2022-09-26 13:58:14.596756,,,,,,,,,,,,,,
,2022-09-26 13:58:15.119087,0.07127979397773743,0.00024031379143707454,0.07127979397773743,5749.0,0.0,,,,,,,,,
0.0005,2022-09-26 13:58:40.997225,,,,,,,,,,,,,,
,2022-09-26 13:58:41.525050,0.003724057925865054,2.051112096523866e-05,0.003724057925865054,5799.0,0.0,,,,,,,,,
0.0005,2022-09-26 13:59:07.402750,,,,,,,,,,,,,,
,2022-09-26 13:59:07.927094,0.11094097793102264,0.00036694304435513914,0.11094097793102264,5849.0,0.0,,,,,,,,,
0.0005,2022-09-26 13:59:33.790628,,,,,,,,,,,,,,
,2022-09-26 13:59:34.311338,0.004025604110211134,2.275800216011703e-05,0.004025604110211134,5899.0,0.0,,,,,,,,,
0.0005,2022-09-26 14:00:00.276566,,,,,,,,,,,,,,
,2022-09-26 14:00:00.797718,0.28453829884529114,0.001976548694074154,0.28453829884529114,5949.0,0.0,,,,,,,,,
0.0005,2022-09-26 14:00:26.749993,,,,,,,,,,,,,,
,2022-09-26 14:00:57.398603,0.005922567564994097,3.069191370741464e-05,0.005922567564994097,5999.0,0.0,,,,,,,,,
0.0005,2022-09-26 14:01:23.310105,,,,,,,,,,,,,,
,2022-09-26 14:01:23.831475,0.017503833398222923,7.532620657002553e-05,0.017503833398222923,6049.0,0.0,,,,,,,,,
0.0005,2022-09-26 14:01:49.721184,,,,,,,,,,,,,,
,2022-09-26 14:01:50.242430,0.0054580941796302795,2.8614755137823522e-05,0.0054580941796302795,6099.0,0.0,,,,,,,,,
0.0005,2022-09-26 14:02:16.172618,,,,,,,,,,,,,,
,2022-09-26 14:02:16.694085,0.0069265952333807945,3.727433067979291e-05,0.0069265952333807945,6149.0,0.0,,,,,,,,,
0.0005,2022-09-26 14:02:42.569505,,,,,,,,,,,,,,
,2022-09-26 14:02:43.092157,0.124043770134449,0.00042441164259798825,0.124043770134449,6199.0,0.0,,,,,,,,,
0.0005,2022-09-26 14:03:09.030744,,,,,,,,,,,,,,
,2022-09-26 14:03:09.552045,0.016890091821551323,7.317385461647063e-05,0.016890091821551323,6249.0,0.0,,,,,,,,,
0.0005,2022-09-26 14:03:35.482555,,,,,,,,,,,,,,
,2022-09-26 14:03:36.003137,0.14174014329910278,0.0004694570379797369,0.14174014329910278,6299.0,0.0,,,,,,,,,
0.0005,2022-09-26 14:04:01.971605,,,,,,,,,,,,,,
